"","Folder","Image Name","Origin","Accession #","Fossil/extant","Tooth Type","Side","Family","Tribe","Genus","Species","User ID","ML or BW"
"3022",NA,"DSCN6441","TM","AZ 976","Extant","UM3","L","Bovidae","Reduncini","Kobus","ellipsiprymnus","RSK","ML"
"3023",NA,"DSCN6445","TM","16701","Extant","UM3","L","Bovidae","Reduncini","Kobus","ellipsiprymnus","RSK","ML"
"3024",NA,"DSCN6449","TM","16693","Extant","UM3","R","Bovidae","Reduncini","Kobus","ellipsiprymnus","RSK","ML"
"3025",NA,"DSCN6453","TM","AZ 3091","Extant","UM3","R","Bovidae","Reduncini","Kobus","ellipsiprymnus","RSK","ML"
"3026",NA,"DSCN6457","TM","3813","Extant","UM3","L","Bovidae","Reduncini","Kobus","ellipsiprymnus","RSK","ML"
"3027",NA,"DSCN6461","TM","AZ 2277","Extant","UM3","R","Bovidae","Reduncini","Kobus","ellipsiprymnus","RSK","ML"
"3028",NA,"DSCN6465","TM","13106","Extant","UM3","L","Bovidae","Reduncini","Kobus","ellipsiprymnus","RSK","ML"
"3029",NA,"DSCN6468","TM","16692","Extant","UM3","R","Bovidae","Reduncini","Kobus","ellipsiprymnus","RSK","ML"
"3030",NA,"DSCN6472","TM","12074","Extant","UM3","L","Bovidae","Reduncini","Kobus","ellipsiprymnus","RSK","ML"
"3031",NA,"DSCN6476","TM","4216","Extant","UM3","L","Bovidae","Reduncini","Kobus","ellipsiprymnus","RSK","ML"
"3032",NA,"DSCN6480","TM","4218","Extant","UM3","L","Bovidae","Reduncini","Kobus","ellipsiprymnus","RSK","ML"
"3033",NA,"DSCN6483","TM","AZ 853","Extant","UM3","L","Bovidae","Reduncini","Kobus","ellipsiprymnus","RSK","ML"
"3034",NA,"DSCN6505","TM","12077","Extant","UM3","L","Bovidae","Reduncini","Kobus","ellipsiprymnus","RSK","ML"
"3035",NA,"DSCN6509","TM","13110","Extant","UM3","L","Bovidae","Reduncini","Kobus","ellipsiprymnus","RSK","ML"
"3036",NA,"DSCN6513","TM","3287","Extant","UM3","L","Bovidae","Reduncini","Kobus","ellipsiprymnus","RSK","ML"
"3037",NA,"DSCN6517","TM","3292","Extant","UM3","L","Bovidae","Reduncini","Kobus","ellipsiprymnus","RSK","ML"
"3038",NA,"DSCN6521","TM","3128","Extant","UM3","R","Bovidae","Reduncini","Kobus","ellipsiprymnus","RSK","ML"
"3039",NA,"DSCN6575","TM","13195","Extant","UM3","L","Bovidae","Reduncini","Kobus","ellipsiprymnus","RSK","ML"
"3040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3041",NA,"DSCN3523","NMB","8714","Extant","LM1","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3042",NA,"DSCN6671","TM","17103","Extant","LM1","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3043",NA,"DSCN6675","TM","17139","Extant","LM1","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
"3044",NA,"DSCN6679","TM","35475","Extant","LM1","L","Bovidae","Reduncini","Kobus","leche","RSK","ML"
